,Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1395,Guatemala,GTM,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,,,,,,,,,,,,,,,,,59999.9986588955,,,,,,,,9999.99977648258,,9999.99977648258,,9999.99977648258,19999.9995529652,,19999.9995529652,29999.9993294477,90000.0035762787,50000.0007450581,59999.9986588955,,,,,19999.9995529652,9999.99977648258,,19999.9995529652,,,29999.9993294477,140000.000596046,,,460000.00834465,850000.023841858,850000.023841858,370000.004768372,259999.990463257,400000.005960464,159999.996423721,810000.002384186,59999.9986588955,39999.9991059303,
1396,Guyana,GUY,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,,,,,,,9999.99977648258,9999.99977648258,9999.99977648258,,9999.99977648258,9999.99977648258,9999.99977648258,9999.99977648258,9999.99977648258,19999.9995529652,29999.9993294477,39999.9991059303,90000.0035762787,29999.9993294477,19999.9995529652,19999.9995529652,9999.99977648258,19999.9995529652,70000.0002980232,79999.9982118607,59999.9986588955,9999.99977648258,29999.9993294477,39999.9991059303,29999.9993294477,19999.9995529652,19999.9995529652,19999.9995529652,9999.99977648258,,,,,,9999.99977648258,,,,,,29999.9993294477,,,,159999.996423721,980000.019073486,360000.014305115,159999.996423721,250000.0,259999.990463257,79999.9982118607,159999.996423721,90000.0035762787,59999.9986588955,
1397,Honduras,HND,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,,,,,,,,,,,,,,,39999.9991059303,19999.9995529652,,,,,,,,,,9999.99977648258,100000.001490116,19999.9995529652,39999.9991059303,19999.9995529652,59999.9986588955,,,,,9999.99977648258,,,,,9999.99977648258,,,,,,29999.9993294477,219999.998807907,,,29999.9993294477,,879999.995231628,910000.026226044,209999.993443489,370000.004768372,140000.000596046,0.0,79999.9982118607,39999.9991059303,
1398,"Korea, Rep.",KOR,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,,,,,,270000.010728836,270000.010728836,170000.001788139,740000.009536743,879999.995231628,230000.004172325,319999.992847443,800000.011920929,579999.983310699,560000.002384186,720000.028610229,769999.980926514,649999.976158142,519999.980926514,289999.99165535,250000.0,189999.997615814,200000.002980232,189999.997615814,509999.990463257,819999.992847443,649999.976158142,670000.016689301,689999.997615814,439999.997615814,579999.983310699,449999.988079071,259999.990463257,109999.999403954,59999.9986588955,119999.997317791,,,50000.0007450581,,,189999.997615814,209999.993443489,230000.004172325,200000.002980232,,,,,,,,,,,,,,,,
1399,Mexico,MEX,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,,,,,,,,,,,,,,,9999.99977648258,9999.99977648258,9999.99977648258,19999.9995529652,19999.9995529652,19999.9995529652,,19999.9995529652,39999.9991059303,79999.9982118607,90000.0035762787,899999.976158142,109999.999403954,109999.999403954,180000.007152557,159999.996423721,59999.9986588955,100000.001490116,100000.001490116,100000.001490116,119999.997317791,,,,,59999.9986588955,29999.9993294477,29999.9993294477,9999.99977648258,,70000.0002980232,39999.9991059303,59999.9986588955,29999.9993294477,129999.995231628,170000.001788139,419999.986886978,1330000.04291534,2950000.04768372,1909999.9666214,1769999.98092651,1120000.00476837,409999.996423721,689999.997615814,209999.993443489,439999.997615814,
1400,Nicaragua,NIC,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,,,,,,,,,,,,,,29999.9993294477,,,,,,,,,,,79999.9982118607,50000.0007450581,79999.9982118607,29999.9993294477,109999.999403954,140000.000596046,90000.0035762787,90000.0035762787,50000.0007450581,180000.007152557,219999.998807907,9999.99977648258,,,,,,109999.999403954,109999.999403954,,3809999.94277954,,,,,,959999.978542328,50000.0007450581,709999.978542328,899999.976158142,140000.000596046,230000.004172325,150000.005960464,19999.9995529652,70000.0002980232,0.0,
1401,Panama,PAN,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.99977648258,,,29999.9993294477,,,,,,,,,,,,,,,,,,,,9999.99977648258,70000.0002980232,70000.0002980232,70000.0002980232,209999.993443489,39999.9991059303,109999.999403954,19999.9995529652,9999.99977648258,
1402,Peru,PER,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,,,,,,,,,,,39999.9991059303,,,,,,,9999.99977648258,19999.9995529652,19999.9995529652,19999.9995529652,19999.9995529652,19999.9995529652,19999.9995529652,9999.99977648258,9999.99977648258,19999.9995529652,,,19999.9995529652,,,,79999.9982118607,79999.9982118607,79999.9982118607,,,39999.9991059303,,100000.001490116,19999.9995529652,,,,,180000.007152557,239999.994635582,29999.9993294477,70000.0002980232,1899999.97615814,730000.019073486,1759999.99046326,2859999.89509583,1659999.9666214,1389999.98569489,660000.026226044,349999.994039536,180000.007152557,360000.014305115,
1403,Paraguay,PRY,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19999.9995529652,,,,,,,,,,1669999.95708466,620000.004768372,379999.995231628,159999.996423721,319999.992847443,109999.999403954,50000.0007450581,70000.0002980232,9999.99977648258,
1404,El Salvador,SLV,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,,,,,,,,,,,,,,,,,,9999.99977648258,,,,,,,79999.9982118607,50000.0007450581,59999.9986588955,70000.0002980232,19999.9995529652,70000.0002980232,,29999.9993294477,59999.9986588955,189999.997615814,209999.993443489,29999.9993294477,,,,,,9999.99977648258,,,,,9999.99977648258,50000.0007450581,,,,90000.0035762787,949999.988079071,850000.023841858,180000.007152557,330000.013113022,180000.007152557,2200000.04768372,70000.0002980232,39999.9991059303,
1405,Suriname,SUR,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109999.999403954,889999.985694885,19999.9995529652,50000.0007450581,250000.0,129999.995231628,79999.9982118607,280000.001192093,50000.0007450581,50000.0007450581,
1406,Uruguay,URY,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19999.9995529652,,,9999.99977648258,9999.99977648258,,,,,,,9999.99977648258,9999.99977648258,,,,9999.99977648258,9999.99977648258,,,29999.9993294477,200000.002980232,159999.996423721,119999.997317791,159999.996423721,70000.0002980232,109999.999403954,,,
