Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Uruguay,URY,DeathInfant,SH.DTH.IMRT,3122.0,3091.0,3039.0,2983.0,2934.0,2901.0,2875.0,2851.0,2822.0,2785.0,2745.0,2727.0,2756.0,2815.0,2868.0,2881.0,2825.0,2679.0,2463.0,2212.0,1961.0,1747.0,1592.0,1486.0,1414.0,1364.0,1320.0,1272.0,1221.0,1175.0,1138.0,1109.0,1088.0,1069.0,1047.0,1017.0,978.0,931.0,881.0,837.0,802.0,771.0,744.0,714.0,676.0,631.0,583.0,539.0,500.0,469.0,447.0,429.0,415.0,402.0,387.0,369.0,348.0,324.0,300.0,275.0,252.0
Argentina,ARG,DeathBel5,SH.DTH.MORT,,,,,,,,,,,,,,,39830.0,39394.0,38302.0,36567.0,34296.0,31714.0,29167.0,26906.0,24982.0,23335.0,21968.0,20984.0,20458.0,20307.0,20374.0,20516.0,20549.0,20316.0,19811.0,19123.0,18329.0,17498.0,16679.0,15913.0,15217.0,14601.0,14067.0,13604.0,13180.0,12766.0,12353.0,11983.0,11690.0,11453.0,11229.0,10981.0,10683.0,10320.0,9912.0,9491.0,9077.0,8656.0,8219.0,7767.0,7309.0,6854.0,6436.0
Belize,BLZ,DeathBel5,SH.DTH.MORT,,,,,,,,,,,,,458.0,448.0,440.0,431.0,422.0,413.0,404.0,393.0,383.0,371.0,360.0,348.0,336.0,322.0,309.0,296.0,281.0,267.0,253.0,239.0,227.0,216.0,206.0,198.0,191.0,185.0,179.0,175.0,171.0,167.0,164.0,162.0,159.0,157.0,154.0,151.0,148.0,145.0,142.0,139.0,135.0,130.0,125.0,119.0,114.0,108.0,102.0,98.0,93.0
Bolivia,BOL,DeathBel5,SH.DTH.MORT,,,,,,43406.0,43125.0,42794.0,42452.0,42097.0,41697.0,41276.0,40812.0,40298.0,39740.0,39127.0,38501.0,37838.0,37156.0,36500.0,35854.0,35252.0,34659.0,34055.0,33423.0,32765.0,32055.0,31313.0,30523.0,29690.0,28836.0,27960.0,27059.0,26133.0,25186.0,24215.0,23220.0,22195.0,21157.0,20108.0,19063.0,18036.0,17031.0,16056.0,15124.0,14229.0,13373.0,12564.0,11803.0,11088.0,10426.0,9808.0,9227.0,8685.0,8194.0,7758.0,7383.0,7044.0,6750.0,6486.0,6253.0
Brazil,BRA,DeathBel5,SH.DTH.MORT,497825.0,495380.0,491961.0,487638.0,482756.0,477224.0,470847.0,463512.0,455375.0,446220.0,436585.0,427192.0,418569.0,410839.0,404227.0,398368.0,392681.0,386779.0,379724.0,371094.0,361014.0,349505.0,337141.0,324130.0,311013.0,297868.0,284646.0,271575.0,258595.0,246048.0,233805.0,221807.0,209691.0,197514.0,185442.0,173777.0,162693.0,152045.0,141802.0,131989.0,122391.0,113078.0,104056.0,95558.0,87609.0,80324.0,73913.0,68307.0,63489.0,59488.0,56169.0,53485.0,51352.0,49646.0,48290.0,47147.0,49408.0,45255.0,44324.0,43325.0,42241.0
Chile,CHL,DeathBel5,SH.DTH.MORT,,,,,36550.0,33232.0,29811.0,26885.0,24678.0,23228.0,22444.0,21993.0,21546.0,20785.0,19439.0,17498.0,15299.0,13137.0,11263.0,9837.0,8825.0,8014.0,7266.0,6646.0,6280.0,6180.0,6203.0,6211.0,6129.0,5922.0,5598.0,5203.0,4792.0,4402.0,4055.0,3765.0,3538.0,3374.0,3228.0,3043.0,2813.0,2599.0,2444.0,2343.0,2272.0,2218.0,2186.0,2178.0,2184.0,2181.0,2160.0,2126.0,2090.0,2047.0,1991.0,1920.0,1840.0,1760.0,1685.0,1615.0,1544.0
Colombia,COL,DeathBel5,SH.DTH.MORT,95506.0,94784.0,93950.0,92874.0,91571.0,89897.0,87847.0,85432.0,82618.0,79475.0,76142.0,72779.0,69527.0,66415.0,63509.0,60713.0,58073.0,55490.0,52981.0,50488.0,48022.0,45582.0,43241.0,41024.0,39012.0,37195.0,35638.0,34367.0,33312.0,32397.0,31598.0,30825.0,30030.0,29164.0,28208.0,27190.0,26148.0,25103.0,24083.0,23115.0,22196.0,21311.0,20430.0,19578.0,18727.0,17862.0,17016.0,16187.0,15400.0,14685.0,14020.0,13415.0,12869.0,12377.0,11928.0,11518.0,11137.0,10759.0,10379.0,9994.0,9621.0
Costa Rica,CRI,DeathBel5,SH.DTH.MORT,5600.0,5593.0,5691.0,5808.0,5836.0,5735.0,5552.0,5325.0,5070.0,4789.0,4486.0,4161.0,3809.0,3442.0,3082.0,2745.0,2438.0,2161.0,1933.0,1776.0,1695.0,1671.0,1688.0,1724.0,1753.0,1755.0,1724.0,1660.0,1578.0,1498.0,1431.0,1375.0,1329.0,1292.0,1263.0,1238.0,1210.0,1173.0,1126.0,1071.0,1012.0,956.0,907.0,867.0,838.0,818.0,804.0,793.0,783.0,770.0,754.0,736.0,714.0,692.0,670.0,651.0,632.0,613.0,593.0,570.0,545.0
Dominica,DMA,DeathBel5,SH.DTH.MORT,,,,,,189.0,174.0,159.0,146.0,132.0,119.0,107.0,95.0,83.0,73.0,64.0,57.0,51.0,46.0,50.0,39.0,36.0,34.0,33.0,31.0,30.0,28.0,27.0,26.0,26.0,26.0,25.0,25.0,25.0,25.0,24.0,24.0,23.0,23.0,22.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,22.0,23.0,24.0,25.0,27.0,28.0,30.0,31.0,33.0,34.0,34.0
Ecuador,ECU,DeathBel5,SH.DTH.MORT,33641.0,33467.0,33318.0,33204.0,33076.0,33000.0,32991.0,33042.0,33085.0,33108.0,33002.0,32756.0,32270.0,31577.0,30661.0,29627.0,28596.0,27605.0,26651.0,25724.0,24769.0,23817.0,22814.0,21828.0,20861.0,19931.0,19063.0,18314.0,17610.0,16951.0,16301.0,15641.0,14975.0,14275.0,13565.0,12830.0,12099.0,11377.0,10703.0,10071.0,9499.0,8989.0,8536.0,8130.0,7781.0,7461.0,7168.0,6887.0,6614.0,6342.0,6082.0,5839.0,5615.0,5414.0,5232.0,5072.0,4925.0,4788.0,4654.0,4509.0,4357.0
