Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bolivia,BOL,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2804466890452,,
Brazil,BRA,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,214.890924574403,204.179556689523,249.008671511117,228.912243728394,286.537137690466,304.771525408759,323.434905047296,338.596116078714,409.78730043164,445.613325031133,324.86241239822,384.505348574621,324.634083379107,290.571815774261,261.887522014911,224.457288462136,237.041616988962,229.682844703957,231.501890221148,213.573078473833,179.196955563121,180.953501833683,144.0886088072,158.8842061478,161.470285353954,176.580192832219,172.38389741402,171.965937410776,155.899246817847,169.188477588513,176.505873713977,190.901310727447,210.046550091618,206.817159831358,184.110524972608,215.929209630271,238.954115932375,241.42952222859,229.896115818877,250.542148337889,277.985447026861,275.345524103707,312.744243686819,348.062967716021,281.643116136208,279.696658154166,340.284671776043,334.170097848715,274.539664628539,322.015501785542,401.898287396795,391.64712844535,442.754025073751,480.748581786077,402.532853677778,488.385507883745,576.043812118527,590.130102769653,,
Chile,CHL,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,19.9470356344941,29.1812422977969,34.0398794265245,33.6746526287069,35.9343608997793,53.2144389871728,60.2378154757533,76.9622604993226,69.8319139988435,91.0757868823633,78.032940546331,80.5348246836289,108.185269168335,106.741195372319,75.0959856042325,98.4561761313295,95.2243667746223,116.494220688009,118.867044770552,106.95028603658,93.9062038162173,95.7865467983796,113.835152116402,130.428830134009,134.462549277267,169.191063273781,188.638187332545,186.178343949045,220.22695035461,196.591025641026,219.354838709677,208.10647307925,254.966887417219,247.402597402597,241.071428571429,143.975493533016,124.285714285714,114.077669902913,103.981619256017,92.6032660902978,95.2475247524752,96.913358778626,88.6592105757852,108.482337356491,95.6215207729762,103.919284673115,101.055480176013,102.020013441864,83.7330906365884,47.9190909090909,57.4073451327434,36.9028813559322,39.2063916625333,41.7243336699921,45.2724090853642,31.0455214681559,33.863073535104,31.0455214681559,,
Colombia,COL,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,1420.0,650.0,315.550755939525,283.464303922086,278.102608806583,329.683287560785,298.958333333333,303.986458760771,237.726980691847,164.149205880012,191.079763510009,176.003925249595,165.267881389905,160.026126714566,212.615682439974,248.537031238953,240.460526315789,265.384930944893,305.791384862336,356.506849315069,305.343511450382,385.02538071066,351.754007022674,257.552719831751,252.969902677242,243.342046718576,272.613329248411,269.44264675706,262.403403403403,303.120281831907,310.376871450697,318.629283489097,545.444915254237,471.848341232227,476.666666666667,407.563025210084,548.472906403941,582.502443792766,690.919811320755,208.621236133122,676.224302736677,762.504464285714,727.367952522255,931.666666666667,315.959485546318,252.069374554014,236.310023077023,285.190699401903,226.962666207248,267.343776318006,271.654252666463,288.183017319922,454.921542020842,543.37922482156,519.131462432092,502.309753905439,556.962351563429,518.324371666861,,
Costa Rica,CRI,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,,,191.666666666667,110.0,245.0,248.275862068966,191.25,251.578947368421,437.71206980126,409.770067236656,329.325513196481,295.043515832356,237.037037037037,241.666666666667,220.333333333333,180.871033743626,205.665275846083,241.329305135952,219.722222222222,183.75,172.380952380952,144.0,245.277777777778,237.777777777778,264.262295081967,265.625,316.666666666667,364.151624548736,445.833333333333,359.602649006623,295.431472081218,307.769423558897,219.387755102041,317.733990147783,277.272727272727,266.428571428571,465.853658536585,621.875,349.809885931559,1246.26865671642,23434.6,,,,,,,,,,,,,,,,,,,
Dominica,DMA,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,,,,,,,,1581.8,575.757997218359,619.963636363636,,642.227272727273,1497.42857142857,681.116666666667,499.603053435114,1187.39422235191,1470.53388090349,792.966666666667,816.534622903591,797.571428571429,704.0,576.416,3075.0,2436.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,3230.35,1100.0,787.775,876.508474576271,858.452670449428,2510.0,500.0,544.225609756098,652.588709677419,400.405882352941,474.736842105263,475.4,615.0,1010.23120921614,766.428571428571,924.285714285714,835.714285714286,954.666666666667,1518.26923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,FertilizerCons_pctFertilizerProd,AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
